,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,124","1,402","1,258","1,269","1,289","1,301","1,269","1,296","1,317","1,286","1,244"
Expenses +,918,"1,160","1,007","1,055","1,053","1,061","1,038","1,061","1,083","1,052","1,044"
Operating Profit,206,243,250,214,237,240,231,236,234,233,200
OPM %,18%,17%,20%,17%,18%,18%,18%,18%,18%,18%,16%
Other Income +,18,47,31,30,31,24,23,16,28,61,68
Interest,5,5,5,5,5,4,5,5,6,5,5
Depreciation,24,25,24,26,27,29,30,30,30,31,31
Profit before tax,194,260,253,213,235,231,220,217,226,258,233
Tax %,24%,17%,24%,25%,28%,32%,26%,28%,25%,27%,27%
Net Profit +,148,217,192,160,170,157,162,157,169,189,170
EPS in Rs,36.58,5.34,4.72,3.95,4.20,3.88,3.99,3.88,4.16,4.66,4.20
Raw PDF,,,,,,,,,,,
