,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"212,098","168,799","217,092","197,714","201,231","190,163","203,033","214,054","238,717","211,952","231,132","203,751","243,134"
Expenses +,"213,222","168,360","202,366","194,094","189,692","180,169","194,558","204,815","237,152","202,180","224,544","191,818","221,621"
Operating Profit,"-1,124",439,"14,727","3,620","11,539","9,994","8,475","9,239","1,564","9,773","6,588","11,934","21,514"
OPM %,-1%,0%,7%,2%,6%,5%,4%,4%,1%,5%,3%,6%,9%
Other Income +,"3,503",992,"6,046",270,612,117,288,206,"14,249","1,001",794,818,954
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,379","1,431","20,772","3,891","12,151","10,111","8,763","9,445","15,813","10,774","7,382","12,752","22,468"
Tax %,-1%,103%,26%,-63%,8%,14%,13%,15%,12%,15%,16%,14%,15%
Net Profit +,"2,409",608,"15,858","7,306","13,189","9,634","8,032","9,434","13,842","10,527","7,723","11,009","19,039"
EPS in Rs,3.81,0.95,25.07,11.56,20.86,15.23,12.70,14.97,21.88,16.67,12.22,17.40,30.10
Raw PDF,,,,,,,,,,,,,
