,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,236","1,242","1,121","1,176","1,294","1,334","1,183","1,264","1,325","1,398","1,288","1,354","1,422"
Expenses +,918,956,864,925,"1,003","1,024",914,935,"1,032","1,075","1,002",978,"1,115"
Operating Profit,317,286,257,251,291,310,269,329,294,322,286,376,307
OPM %,26%,23%,23%,21%,22%,23%,23%,26%,22%,23%,22%,28%,22%
Other Income +,15,14,19,20,22,19,20,22,24,20,21,23,32
Interest,1,0,1,2,2,1,2,2,2,3,2,3,2
Depreciation,20,20,21,21,23,22,23,25,24,26,25,25,25
Profit before tax,311,280,254,248,288,305,264,324,292,314,280,371,313
Tax %,27%,26%,26%,22%,30%,26%,26%,25%,26%,26%,26%,27%,25%
Net Profit +,228,206,187,193,202,225,194,242,216,232,207,271,233
EPS in Rs,2.31,2.09,1.89,1.95,2.05,2.28,1.97,2.45,2.19,2.35,2.10,2.74,2.36
Raw PDF,,,,,,,,,,,,,
