,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,304,336,379,382,372,404,445,458,501,509
Expenses +,255,275,317,317,302,328,359,372,413,420
Operating Profit,49,62,62,65,69,76,86,86,88,88
OPM %,16%,18%,16%,17%,19%,19%,19%,19%,18%,17%
Other Income +,1,1,1,1,2,6,6,6,6,5
Interest,3,3,4,4,5,4,4,4,4,4
Depreciation,10,11,11,12,14,14,15,16,18,21
Profit before tax,36,49,49,50,52,63,73,72,73,69
Tax %,25%,26%,25%,25%,26%,25%,26%,26%,26%,25%
Net Profit +,27,36,36,38,39,47,54,54,54,51
EPS in Rs,685.10,912.21,929.13,6.40,6.15,7.44,8.54,8.46,8.36,7.98
Raw PDF,,,,,,,,,,
