,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,132","1,362","1,554","1,653"
Expenses +,836,"1,064","1,188","1,298"
Operating Profit,297,298,365,355
OPM %,26%,22%,24%,21%
Other Income +,11,-6,26,34
Interest,4,17,35,21
Depreciation,42,47,59,62
Profit before tax,262,228,297,306
Tax %,23%,16%,28%,26%
Net Profit +,202,192,213,228
EPS in Rs,,,15.75,16.71
Dividend Payout %,0%,0%,33%,18%
