,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,515,491,469,511,464,524,515
Expenses +,393,377,370,374,348,404,397
Operating Profit,122,114,100,137,116,120,118
OPM %,24%,23%,21%,27%,25%,23%,23%
Other Income +,57,82,77,41,21,2,14
Interest,1,0,0,0,0,0,0
Depreciation,9,9,9,9,9,9,10
Profit before tax,169,186,167,169,127,113,122
Tax %,27%,18%,18%,19%,19%,27%,25%
Net Profit +,123,152,138,137,103,82,91
EPS in Rs,53.43,66.04,59.87,59.39,44.87,35.74,39.70
Raw PDF,,,,,,,
