,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"26,749","26,512","29,942","29,251","32,214","32,535","37,339","33,513","38,471","35,779","37,449","38,764","40,920"
Expenses +,"24,320","24,597","27,172","25,878","28,320","29,015","32,028","29,073","33,250","30,673","32,450","33,688","36,076"
Operating Profit,"2,429","1,915","2,771","3,373","3,894","3,520","5,312","4,440","5,221","5,107","4,999","5,076","4,844"
OPM %,9%,7%,9%,12%,12%,11%,14%,13%,14%,14%,13%,13%,12%
Other Income +,514,112,662,893,850,"1,110",958,"1,053","1,261","1,118","1,570","1,125","1,583"
Interest,56,28,31,30,164,46,35,36,76,57,43,46,48
Depreciation,648,652,723,"1,209","1,240","1,314","1,342","1,302","1,298","1,332","1,386","1,429","1,462"
Profit before tax,"2,239","1,347","2,679","3,027","3,341","3,269","4,892","4,156","5,108","4,836","5,141","4,726","4,918"
Tax %,16%,23%,21%,21%,20%,22%,23%,23%,23%,22%,40%,21%,20%
Net Profit +,"1,876","1,036","2,112","2,406","2,688","2,543","3,786","3,207","3,952","3,760","3,102","3,727","3,911"
EPS in Rs,62.10,34.30,69.93,79.65,88.97,84.18,125.34,102.00,125.71,119.58,98.68,118.54,124.40
Raw PDF,,,,,,,,,,,,,
