,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,162,450,481,640,720,838,"1,091"
Expenses +,97,291,269,352,422,473,612
Operating Profit,66,159,212,288,298,364,479
OPM %,40%,35%,44%,45%,41%,43%,44%
Other Income +,2,5,5,6,17,25,38
Interest,20,53,52,53,11,9,5
Depreciation,34,92,98,37,47,53,64
Profit before tax,14,19,68,204,258,327,448
Tax %,35%,76%,196%,27%,24%,25%,26%
Net Profit +,9,5,-65,149,196,246,333
EPS in Rs,0.54,0.30,-4.28,8.87,11.57,14.39,19.33
Dividend Payout %,0%,0%,0%,0%,0%,40%,39%
