,Dec 2011,Dec 2012
Sales +,"7,449","7,608"
Expenses +,"7,093","7,253"
Operating Profit,356,355
OPM %,5%,5%
Other Income +,38,7
Interest,46,57
Depreciation,80,94
Profit before tax,268,211
Tax %,31%,33%
Net Profit +,185,141
EPS in Rs,8.72,6.65
Dividend Payout %,34%,45%
