,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"24,866","40,844","38,175","26,612","28,944","22,644","19,546","25,050","29,180","25,472","22,608","22,848","26,966"
Expenses +,"23,603","39,102","36,306","24,983","25,337","20,119","17,116","21,824","25,985","21,767","18,842","19,778","23,256"
Operating Profit,"1,262","1,742","1,869","1,629","3,607","2,525","2,430","3,226","3,195","3,706","3,766","3,070","3,710"
OPM %,5%,4%,5%,6%,12%,11%,12%,13%,11%,15%,17%,13%,14%
Other Income +,276,222,266,339,-15,370,461,491,-176,591,583,648,"4,582"
Interest,622,915,934,596,"1,525","1,103","1,343",597,"1,513","1,130",910,"2,141","1,796"
Depreciation,449,417,531,592,895,714,757,760,811,934,"1,035","1,006","1,236"
Profit before tax,468,632,670,780,"1,172","1,079",791,"2,361",696,"2,232","2,403",572,"5,259"
Tax %,46%,35%,35%,18%,38%,33%,50%,19%,62%,26%,21%,103%,24%
Net Profit +,326,469,432,740,781,677,333,"1,973",352,"1,772","1,989",229,"4,015"
EPS in Rs,2.77,4.12,4.04,7.19,6.34,5.91,2.00,16.57,3.95,12.76,15.28,0.50,33.31
Raw PDF,,,,,,,,,,,,,
