,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,344,378,417,428,425,440,452,468,456,468,499,516,530
Expenses +,311,333,356,364,357,377,387,403,426,419,434,431,441
Operating Profit,33,45,61,64,68,62,65,65,30,50,65,85,89
OPM %,9%,12%,15%,15%,16%,14%,14%,14%,7%,11%,13%,16%,17%
Other Income +,5,1,2,8,4,5,5,7,16,-24,18,9,17
Interest,2,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,5,5,7,7,7,7,8,8,8,8,9,8,8
Profit before tax,32,39,55,63,64,59,61,63,37,17,73,86,97
Tax %,28%,21%,24%,27%,23%,24%,25%,24%,27%,37%,27%,26%,25%
Net Profit +,23,31,42,47,49,45,46,48,27,11,53,64,73
EPS in Rs,8.06,11.05,14.78,16.57,17.53,15.85,16.80,17.60,9.94,3.85,19.39,23.29,26.70
Raw PDF,,,,,,,,,,,,,
