,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,507","3,101","3,011","2,998","2,689","3,275","3,076","3,130","2,902","3,395","3,235","3,369","3,141"
Expenses +,"2,106","2,572","2,511","2,502","2,232","2,569","2,398","2,388","2,327","2,583","2,467","2,571","2,509"
Operating Profit,401,529,500,496,458,706,678,742,575,812,768,798,632
OPM %,16%,17%,17%,17%,17%,22%,22%,24%,20%,24%,24%,24%,20%
Other Income +,16,14,14,7,23,23,32,37,-23,54,57,56,55
Interest,9,9,12,15,12,12,13,13,13,12,12,12,14
Depreciation,62,61,64,69,76,73,75,79,113,84,88,90,97
Profit before tax,346,473,439,419,393,644,622,687,426,770,725,752,576
Tax %,26%,24%,23%,27%,27%,26%,26%,26%,29%,26%,25%,26%,26%
Net Profit +,254,358,338,308,286,474,459,511,304,571,540,557,428
EPS in Rs,5.00,6.96,6.54,5.98,5.57,9.21,8.85,10.04,5.91,11.15,10.51,10.86,8.30
Raw PDF,,,,,,,,,,,,,
