,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,188","2,760","2,671","2,694","2,444","3,030","2,767","2,882","2,520","3,091","2,775","2,975","2,704"
Expenses +,"1,841","2,355","2,307","2,344","2,097","2,473","2,294","2,402","2,169","2,569","2,340","2,503","2,276"
Operating Profit,346,405,364,350,347,557,474,480,351,522,434,472,428
OPM %,16%,15%,14%,13%,14%,18%,17%,17%,14%,17%,16%,16%,16%
Other Income +,24,17,16,13,15,17,19,20,48,46,30,27,26
Interest,15,16,24,30,29,20,21,20,18,15,17,16,15
Depreciation,60,63,62,64,74,78,83,83,87,87,89,89,89
Profit before tax,296,342,293,269,258,476,389,398,294,466,358,394,350
Tax %,26%,26%,25%,25%,28%,25%,25%,25%,24%,24%,25%,25%,25%
Net Profit +,220,254,220,201,186,355,292,300,223,354,270,296,263
EPS in Rs,1.89,2.17,1.88,1.72,1.59,3.04,2.50,2.57,1.91,3.03,2.31,2.53,2.25
Raw PDF,,,,,,,,,,,,,
