,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,339,346,359,372,389,395,410,436,453,459,483,493,502
Expenses +,239,244,253,263,265,269,273,293,308,307,318,331,334
Operating Profit,100,102,106,109,124,127,137,142,145,152,165,162,168
OPM %,29%,30%,29%,29%,32%,32%,34%,33%,32%,33%,34%,33%,33%
Other Income +,12,14,16,14,11,12,21,17,17,19,21,31,26
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,11,11,11,11,11,11,12,14,16,16,17,16,17
Profit before tax,100,105,110,112,124,127,146,145,146,154,168,177,177
Tax %,19%,18%,17%,13%,18%,18%,20%,18%,17%,19%,22%,21%,18%
Net Profit +,81,86,92,97,101,104,116,120,121,125,131,140,145
EPS in Rs,10.43,11.21,12.09,12.84,13.45,13.62,15.13,15.43,16.01,16.31,17.21,18.28,18.76
Raw PDF,,,,,,,,,,,,,
