,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,638","1,878","2,049","2,169","2,254","2,321","2,412","2,498","2,591","2,737","2,897","3,062","3,242"
Expenses +,"1,357","1,545","1,681","1,768","1,838","1,947","2,007","2,056","2,136","2,282","2,416","2,524","2,658"
Operating Profit,281,333,368,402,416,374,405,442,454,455,481,538,584
OPM %,17%,18%,18%,19%,18%,16%,17%,18%,18%,17%,17%,18%,18%
Other Income +,42,21,8,3,9,22,37,38,31,31,47,43,18
Interest,5,8,11,14,15,13,12,12,10,14,18,16,18
Depreciation,51,65,69,68,70,76,74,79,80,71,74,82,79
Profit before tax,267,282,296,323,341,307,356,389,395,401,435,482,505
Tax %,25%,25%,26%,26%,26%,25%,26%,26%,20%,24%,25%,23%,22%
Net Profit +,201,212,220,238,252,229,263,286,315,306,325,373,396
EPS in Rs,13.15,13.84,14.39,15.56,16.45,14.86,17.11,18.59,20.47,19.89,21.02,24.12,25.59
Raw PDF,,,,,,,,,,,,,
