,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,887","2,032","1,891","2,291","2,214","2,355","2,478","2,728","2,301","2,818","2,277","2,948","2,445"
Expenses +,"1,647","1,836","1,746","2,106","1,981","2,024","2,214","2,402","2,015","2,451","2,047","2,616","2,158"
Operating Profit,240,196,145,185,233,331,264,325,285,367,230,332,287
OPM %,13%,10%,8%,8%,11%,14%,11%,12%,12%,13%,10%,11%,12%
Other Income +,55,36,25,92,86,99,94,129,133,103,140,143,178
Interest,4,3,3,3,4,3,9,11,12,11,10,4,5
Depreciation,34,37,37,38,38,40,58,57,59,62,61,62,62
Profit before tax,257,192,130,236,278,386,290,386,347,398,299,410,398
Tax %,26%,27%,24%,23%,22%,25%,27%,23%,22%,24%,-8%,22%,20%
Net Profit +,190,141,99,181,216,290,211,299,270,302,324,321,318
EPS in Rs,14.47,10.66,7.49,13.70,16.41,26.24,19.05,27.01,24.43,27.30,28.98,28.66,28.46
Raw PDF,,,,,,,,,,,,,
