,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,266","1,233","1,686","1,625","1,466","1,433","1,964","1,905","1,550","1,826","2,533","2,425","2,041"
Expenses +,888,939,"1,089","1,090","1,056","1,078","1,231","1,246","1,101","1,325","1,571","1,568","1,465"
Operating Profit,378,294,597,535,410,355,732,660,450,501,962,857,576
OPM %,30%,24%,35%,33%,28%,25%,37%,35%,29%,27%,38%,35%,28%
Other Income +,18,37,58,29,49,48,40,46,46,371,59,59,61
Interest,62,60,57,57,57,59,53,52,50,52,52,54,55
Depreciation,103,103,103,108,109,111,114,120,117,125,134,142,143
Profit before tax,231,169,495,400,294,232,605,535,328,696,834,720,440
Tax %,28%,26%,23%,24%,28%,31%,28%,26%,29%,18%,26%,25%,27%
Net Profit +,181,130,404,339,236,179,477,438,260,583,633,563,329
EPS in Rs,1.20,0.86,2.69,2.31,1.57,1.18,3.18,2.93,1.75,3.90,4.09,3.67,2.08
Raw PDF,,,,,,,,,,,,,
