,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,595,669,683,822,715,771,736,918,738,797,812,913,813
Expenses +,419,499,531,606,511,567,544,649,546,591,588,626,581
Operating Profit,176,169,151,216,203,204,192,269,192,207,224,287,232
OPM %,30%,25%,22%,26%,28%,26%,26%,29%,26%,26%,28%,31%,29%
Other Income +,20,35,65,18,17,18,36,36,21,18,21,30,31
Interest,2,2,2,1,1,1,1,1,1,1,1,2,6
Depreciation,25,26,26,26,26,26,26,25,17,16,16,21,30
Profit before tax,169,177,189,207,194,195,200,279,195,208,229,294,227
Tax %,28%,23%,22%,24%,25%,23%,24%,25%,30%,28%,25%,24%,30%
Net Profit +,122,137,148,158,146,151,152,210,138,150,172,225,160
EPS in Rs,16.67,18.75,20.24,21.63,19.94,20.60,20.79,28.74,18.84,20.53,23.46,30.72,21.86
Raw PDF,,,,,,,,,,,,,
