,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,237,259,293,326,370,376,388,432,458,463,501,503,538
Expenses +,195,210,237,263,303,306,314,348,368,368,390,394,418
Operating Profit,42,49,56,63,66,71,74,84,90,96,111,109,120
OPM %,18%,19%,19%,19%,18%,19%,19%,19%,20%,21%,22%,22%,22%
Other Income +,8,7,11,12,12,13,14,17,18,19,20,22,20
Interest,0,0,0,0,0,1,1,1,1,1,1,0,1
Depreciation,5,5,5,5,5,5,5,6,5,6,6,6,8
Profit before tax,44,51,61,70,73,79,83,95,102,108,124,125,132
Tax %,25%,24%,25%,25%,24%,22%,23%,28%,25%,25%,27%,26%,28%
Net Profit +,33,38,46,53,56,61,64,68,76,80,91,93,95
EPS in Rs,1.02,1.18,1.43,1.63,1.75,1.91,2.02,2.15,2.39,2.52,2.86,2.91,2.95
Raw PDF,,,,,,,,,,,,,
