,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,426","4,244","3,679","4,128","4,859","4,834","3,900","4,414","5,442","5,806","4,539","4,889","6,544"
Expenses +,"3,906","3,883","3,393","3,704","4,332","4,432","3,527","3,981","4,807","5,234","4,164","4,462","5,787"
Operating Profit,520,362,287,424,527,402,373,433,635,572,375,426,757
OPM %,12%,9%,8%,10%,11%,8%,10%,10%,12%,10%,8%,9%,12%
Other Income +,44,48,44,40,47,65,52,56,76,77,93,64,69
Interest,19,10,7,7,10,8,9,10,18,9,10,9,15
Depreciation,71,72,72,75,77,76,81,88,93,92,95,104,110
Profit before tax,474,327,252,381,487,382,335,391,599,549,363,377,701
Tax %,26%,26%,26%,26%,26%,25%,26%,26%,25%,26%,26%,26%,26%
Net Profit +,352,243,187,284,358,287,249,288,447,408,268,278,517
EPS in Rs,5.63,3.88,2.98,4.53,5.71,4.58,3.97,4.59,7.13,6.51,4.28,4.44,8.26
Raw PDF,,,,,,,,,,,,,
