,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,196,181,175,169,197,179,81,185,199,69,72,81,89
Expenses +,353,109,190,114,116,114,33,123,232,30,33,34,36
Operating Profit,-157,72,-15,55,81,65,48,62,-33,39,39,47,53
OPM %,-80%,40%,-8%,32%,41%,36%,60%,34%,-17%,56%,54%,58%,59%
Other Income +,228,14,94,14,36,21,29,19,147,40,34,291,13
Interest,0,0,0,0,0,0,2,0,0,2,3,2,0
Depreciation,6,5,5,5,6,5,0,7,6,0,0,0,2
Profit before tax,65,81,74,64,111,81,75,75,107,76,70,336,64
Tax %,-47%,33%,14%,26%,31%,37%,26%,33%,55%,18%,20%,25%,-19%
Net Profit +,96,54,64,47,77,51,55,50,48,62,56,251,76
EPS in Rs,13.63,7.71,9.04,6.68,10.93,7.19,7.86,7.10,6.88,8.79,8.01,35.63,10.73
Raw PDF,,,,,,,,,,,,,
