,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,281,345,352,327,369,418,451,422,446
Expenses +,245,278,283,271,304,340,375,367,381
Operating Profit,36,67,70,56,66,79,75,55,65
OPM %,13%,19%,20%,17%,18%,19%,17%,13%,15%
Other Income +,6,-4,1,12,7,15,15,20,25
Interest,2,2,2,3,4,6,6,6,5
Depreciation,7,6,7,8,15,12,13,13,14
Profit before tax,34,54,62,57,53,76,71,57,71
Tax %,16%,13%,10%,11%,13%,19%,16%,12%,17%
Net Profit +,28,47,56,51,46,61,60,50,59
EPS in Rs,2.57,4.59,5.41,4.93,4.47,5.61,5.53,4.60,5.43
Raw PDF,,,,,,,,,
