,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,518","2,822","2,986","3,043","2,678","3,130","3,204","3,255","2,815","3,349","3,029","3,355","2,830"
Expenses +,"2,065","2,279","2,386","2,434","2,268","2,526","2,543","2,588","2,348","2,694","2,476","2,673","2,403"
Operating Profit,452,543,600,609,410,605,661,667,466,655,553,682,427
OPM %,18%,19%,20%,20%,15%,19%,21%,20%,17%,20%,18%,20%,15%
Other Income +,14,101,123,101,121,110,117,127,129,129,152,129,141
Interest,12,12,15,19,32,24,28,36,35,33,47,44,39
Depreciation,65,68,70,71,102,97,98,97,107,109,111,109,117
Profit before tax,390,564,638,620,396,593,651,661,453,642,546,658,412
Tax %,24%,22%,23%,23%,26%,23%,22%,23%,25%,23%,24%,22%,24%
Net Profit +,294,441,491,477,293,457,507,506,341,494,418,516,313
EPS in Rs,1.66,2.49,2.77,2.69,1.70,2.62,2.91,2.90,1.97,2.82,2.40,2.95,1.81
Raw PDF,,,,,,,,,,,,,
