,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,484","2,576","3,079","3,041","2,903","2,968","3,440","3,324","2,936","3,032","3,415","3,374","3,144"
Expenses +,"2,147","2,373","2,625","2,442","2,549","2,579","2,693","2,616","2,534","2,423","2,662","2,615","2,752"
Operating Profit,337,203,454,599,353,389,747,708,402,609,753,759,391
OPM %,14%,8%,15%,20%,12%,13%,22%,21%,14%,20%,22%,23%,12%
Other Income +,6,51,51,45,-34,66,6,42,76,120,134,93,146
Interest,17,26,25,27,29,30,30,25,27,29,28,36,28
Depreciation,83,76,77,78,78,72,74,70,83,80,79,85,112
Profit before tax,243,152,402,539,212,353,648,655,367,619,780,731,396
Tax %,55%,13%,14%,15%,68%,18%,5%,8%,17%,11%,10%,12%,18%
Net Profit +,108,131,348,460,68,288,615,604,304,550,702,641,322
EPS in Rs,9.00,10.68,27.67,38.03,5.94,23.98,51.90,49.76,24.55,45.60,57.60,52.34,25.58
Raw PDF,,,,,,,,,,,,,
