,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,559,638,635,604,665,668,667,660,691,706,694,703,710
Expenses +,435,510,513,485,536,534,536,532,567,572,565,579,582
Operating Profit,124,128,122,119,129,135,131,128,125,133,129,123,127
OPM %,22%,20%,19%,20%,19%,20%,20%,19%,18%,19%,19%,18%,18%
Other Income +,12,11,15,9,21,15,23,14,17,16,23,18,23
Interest,2,1,1,4,2,2,2,2,2,2,2,2,2
Depreciation,13,14,16,16,15,17,17,18,20,21,23,23,25
Profit before tax,120,125,120,108,133,130,135,122,120,125,128,116,123
Tax %,25%,26%,25%,26%,26%,26%,24%,25%,23%,26%,24%,24%,24%
Net Profit +,90,93,90,80,98,97,102,92,93,93,97,88,93
EPS in Rs,8.10,8.35,8.13,7.24,8.96,8.76,9.20,8.32,8.36,8.42,8.69,7.84,8.36
Raw PDF,,,,,,,,,,,,,
