,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,180,166,185,182,204,163,172,204,263,205,242,483,241
Expenses +,129,114,128,119,154,113,111,139,193,154,181,399,160
Operating Profit,51,52,57,63,49,50,61,66,70,51,61,84,80
OPM %,29%,31%,31%,35%,24%,31%,35%,32%,27%,25%,25%,17%,33%
Other Income +,19,10,11,15,17,18,13,15,18,12,13,16,23
Interest,1,1,1,1,2,1,0,1,0,0,0,0,5
Depreciation,4,4,4,6,6,7,8,9,12,13,14,15,17
Profit before tax,64,56,63,71,58,59,66,70,76,51,59,84,82
Tax %,25%,26%,25%,26%,25%,27%,27%,25%,29%,27%,24%,26%,27%
Net Profit +,48,42,47,53,44,43,48,52,54,37,45,62,60
EPS in Rs,2.50,2.17,2.41,2.76,2.27,2.25,2.49,2.71,2.79,1.91,2.33,3.23,3.12
Raw PDF,,,,,,,,,,,,,
