,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,541","4,270","4,675"
Expenses +,"2,265","2,804","3,125"
Operating Profit,"1,276","1,466","1,550"
OPM %,36%,34%,33%
Other Income +,148,106,277
Interest,16,19,17
Depreciation,54,57,53
Profit before tax,"1,354","1,496","1,757"
Tax %,26%,26%,25%
Net Profit +,"1,006","1,111","1,315"
EPS in Rs,12.57,13.89,16.44
Dividend Payout %,44%,47%,73%
