,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,545,560,541,575,643,671,695,775,887,935,901,968
Expenses +,140,147,130,146,162,162,157,181,184,171,171,195
Operating Profit,404,413,410,428,481,509,539,594,703,764,730,773
OPM %,74%,74%,76%,75%,75%,76%,77%,77%,79%,82%,81%,80%
Other Income +,104,103,97,158,122,143,156,173,171,93,124,233
Interest,2,2,2,2,2,2,2,2,2,2,3,3
Depreciation,13,13,13,13,13,13,13,13,14,15,17,17
Profit before tax,493,500,492,571,588,637,679,752,858,840,835,986
Tax %,26%,26%,24%,16%,26%,23%,20%,20%,33%,24%,24%,24%
Net Profit +,364,369,376,477,437,488,541,604,577,641,638,748
EPS in Rs,17.06,17.30,17.63,22.36,20.45,22.86,25.33,28.27,26.99,30.00,29.86,34.95
Raw PDF,,,,,,,,,,,,
