,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"21,529","22,540","23,229","23,190","22,831","22,516","22,205","22,208","21,964","22,302","22,319","22,504","22,135"
Expenses +,"17,671","18,608","18,690","18,671","18,627","18,546","18,007","17,828","17,614","17,798","17,779","17,880","17,902"
Operating Profit,"3,858","3,932","4,539","4,519","4,204","3,970","4,198","4,381","4,350","4,503","4,540","4,624","4,233"
OPM %,18%,17%,20%,19%,18%,18%,19%,20%,20%,20%,20%,21%,19%
Other Income +,472,512,649,632,640,740,598,653,730,962,"1,005","1,217","1,072"
Interest,204,227,290,286,309,303,312,331,329,357,415,377,361
Depreciation,774,797,923,847,738,897,932,840,729,831,676,722,686
Profit before tax,"3,352","3,420","3,975","4,018","3,798","3,509","3,552","3,862","4,022","4,278","4,453","4,743","4,258"
Tax %,24%,23%,23%,23%,24%,24%,24%,26%,24%,25%,24%,24%,22%
Net Profit +,"2,559","2,649","3,065","3,094","2,886","2,667","2,701","2,858","3,037","3,227","3,367","3,588","3,336"
EPS in Rs,2.34,2.42,2.78,2.80,2.61,2.53,2.58,2.71,2.87,3.07,3.20,3.41,3.18
Raw PDF,,,,,,,,,,,,,
