,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,486,506,566,517,519,439,463,448,550,525,553,522,648
Expenses +,347,375,418,369,372,338,358,333,400,400,420,379,468
Operating Profit,139,131,148,148,147,100,105,115,150,124,134,142,180
OPM %,29%,26%,26%,29%,28%,23%,23%,26%,27%,24%,24%,27%,28%
Other Income +,15,19,20,11,12,10,11,9,10,9,22,7,6
Interest,0,0,0,0,1,1,1,1,1,0,0,0,0
Depreciation,12,13,13,17,17,17,17,19,20,21,22,22,23
Profit before tax,142,136,155,142,142,92,97,103,139,112,134,127,164
Tax %,29%,26%,25%,25%,26%,25%,25%,25%,25%,25%,22%,26%,25%
Net Profit +,101,101,116,107,105,69,72,77,104,84,104,94,123
EPS in Rs,9.84,9.85,11.29,10.40,10.18,6.75,7.05,7.49,10.05,8.12,10.07,9.04,11.87
Raw PDF,,,,,,,,,,,,,
