,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,806","4,073","4,135","4,257","5,011","5,140","4,369","4,505","5,534","6,208","5,237","5,269","6,528"
Expenses +,"3,088","3,240","3,319","3,301","3,755","3,634","3,223","3,403","3,903","4,124","3,776","3,882","4,402"
Operating Profit,718,833,815,956,"1,256","1,505","1,146","1,102","1,630","2,084","1,461","1,388","2,126"
OPM %,19%,20%,20%,22%,25%,29%,26%,24%,29%,34%,28%,26%,33%
Other Income +,64,55,50,39,-566,21,53,60,160,63,68,57,-139
Interest,38,34,35,33,28,18,9,20,35,32,25,32,77
Depreciation,185,181,182,182,179,180,184,195,205,215,234,229,238
Profit before tax,558,673,648,780,484,"1,328","1,006",947,"1,550","1,900","1,271","1,184","1,672"
Tax %,20%,18%,21%,25%,28%,16%,22%,23%,21%,23%,29%,15%,25%
Net Profit +,453,576,526,631,358,"1,134",803,790,"1,246","1,482",920,"1,026","1,244"
EPS in Rs,3.88,5.06,5.16,6.15,2.93,10.74,7.91,7.80,11.75,14.11,9.06,10.17,11.64
Raw PDF,,,,,,,,,,,,,
