,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,650,649,595,783,966,"1,133","1,306"
Expenses +,506,516,459,615,761,882,"1,021"
Operating Profit,144,133,136,168,205,252,285
OPM %,22%,20%,23%,21%,21%,22%,22%
Other Income +,28,48,15,21,19,30,48
Interest,27,26,7,2,4,6,9
Depreciation,9,12,12,12,14,18,25
Profit before tax,135,144,133,174,207,258,299
Tax %,-44%,32%,27%,25%,25%,24%,24%
Net Profit +,193,97,97,130,155,196,226
EPS in Rs,213.05,107.23,107.40,14.38,17.05,21.59,24.90
Dividend Payout %,0%,0%,0%,10%,67%,51%,8%
