,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,668,786,794,"1,018",850,932,"1,104","1,071",951,960,"1,024","1,091","1,114"
Expenses +,581,664,666,887,711,812,966,910,781,806,895,949,955
Operating Profit,87,122,128,130,139,121,138,161,170,154,129,142,159
OPM %,13%,16%,16%,13%,16%,13%,13%,15%,18%,16%,13%,13%,14%
Other Income +,25,29,45,27,27,33,40,28,42,44,41,50,47
Interest,1,1,1,1,0,1,1,1,1,1,1,2,2
Depreciation,13,12,13,13,14,14,14,13,14,13,14,14,14
Profit before tax,99,137,159,144,152,139,164,174,197,184,155,176,190
Tax %,26%,26%,26%,26%,26%,26%,26%,27%,25%,26%,26%,25%,26%
Net Profit +,73,102,118,106,112,103,122,128,148,136,115,132,140
EPS in Rs,82.19,115.33,133.35,120.00,126.68,116.95,137.87,144.66,167.62,154.39,130.18,149.41,158.23
Raw PDF,,,,,,,,,,,,,
