,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,450","1,585","1,220","1,431","1,950","1,611","1,511","1,241","1,697","1,610","1,480","1,529","1,769"
Expenses +,"1,114","1,217",903,"1,163","1,629","1,279","1,213",970,"1,362","1,295","1,184","1,227","1,436"
Operating Profit,336,368,317,269,320,332,298,272,335,315,296,302,333
OPM %,23%,23%,26%,19%,16%,21%,20%,22%,20%,20%,20%,20%,19%
Other Income +,11,20,21,13,8,5,22,28,12,8,39,16,11
Interest,6,17,21,20,21,22,18,15,20,16,13,9,11
Depreciation,36,49,50,29,46,45,46,49,49,51,52,53,52
Profit before tax,305,323,267,233,261,270,256,236,278,255,271,256,281
Tax %,28%,30%,24%,25%,20%,25%,21%,21%,23%,20%,24%,21%,27%
Net Profit +,220,227,203,175,210,203,202,187,214,203,205,202,205
EPS in Rs,6.39,6.63,5.95,5.11,6.13,5.93,5.90,5.47,6.25,5.95,6.00,5.92,5.98
Raw PDF,,,,,,,,,,,,,
