,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,306,399,461,423,403,467,505,486,551,720,741,727,705
Expenses +,209,269,309,286,284,297,324,311,402,470,477,477,453
Operating Profit,97,129,151,137,119,170,181,176,148,250,265,250,252
OPM %,32%,32%,33%,32%,30%,36%,36%,36%,27%,35%,36%,34%,36%
Other Income +,8,3,5,2,1,1,3,4,15,2,5,4,8
Interest,1,7,7,3,9,17,16,18,33,60,59,57,54
Depreciation,18,23,29,30,35,41,42,46,54,76,80,81,77
Profit before tax,85,101,121,107,76,112,126,116,77,115,129,116,129
Tax %,6%,8%,1%,6%,19%,17%,3%,12%,-4%,22%,25%,25%,21%
Net Profit +,80,93,119,100,61,94,122,101,80,89,96,87,102
EPS in Rs,5.91,6.96,8.85,7.49,4.81,6.98,9.07,7.55,5.22,6.11,6.73,6.15,6.89
Raw PDF,,,,,,,,,,,,,
