,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"9,927","8,470","9,600","10,400","13,203","9,691","11,429","11,093","13,542","10,724","11,148","11,995","14,696"
Expenses +,"8,733","7,701","8,580","9,055","11,245","8,183","9,559","9,131","10,975","8,856","9,108","9,659","11,705"
Operating Profit,"1,194",770,"1,020","1,344","1,958","1,509","1,870","1,961","2,567","1,868","2,040","2,336","2,991"
OPM %,12%,9%,11%,13%,15%,16%,16%,18%,19%,17%,18%,19%,20%
Other Income +,-233,5,32,36,97,53,-1,46,10,36,245,75,22
Interest,463,467,499,545,582,655,715,783,829,904,962,"1,011","1,053"
Depreciation,234,212,209,220,259,227,227,241,233,235,244,268,340
Profit before tax,264,96,344,615,"1,214",679,927,984,"1,516",765,"1,078","1,132","1,621"
Tax %,40%,77%,46%,43%,34%,14%,39%,38%,38%,28%,29%,28%,23%
Net Profit +,158,22,186,351,803,584,569,609,934,551,767,820,"1,246"
EPS in Rs,0.24,0.01,0.28,0.54,1.28,0.93,0.90,0.95,1.45,0.87,1.20,1.30,1.92
Raw PDF,,,,,,,,,,,,,
