,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,101","1,154","1,192","1,222","1,226","1,263","1,310","1,343","1,363","1,327","1,368","1,363","1,317"
Expenses +,927,985,"1,016","1,215","1,059","1,070","1,103","1,129","1,141","1,132","1,203","1,199","1,143"
Operating Profit,175,170,176,7,167,193,207,214,222,195,165,163,174
OPM %,16%,15%,15%,1%,14%,15%,16%,16%,16%,15%,12%,12%,13%
Other Income +,23,15,-3,12,-2,14,16,28,46,35,33,21,20
Interest,4,3,6,6,4,4,6,6,4,4,7,7,6
Depreciation,20,20,21,21,21,21,22,21,21,21,22,21,22
Profit before tax,174,162,147,-7,140,182,196,215,242,205,170,156,166
Tax %,23%,26%,22%,139%,20%,24%,26%,25%,26%,27%,25%,25%,27%
Net Profit +,133,121,115,-16,112,138,145,161,180,150,128,117,122
EPS in Rs,4.75,4.31,4.23,-0.60,4.08,5.00,5.27,5.84,6.53,5.44,4.61,4.23,4.39
Raw PDF,,,,,,,,,,,,,
