,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,258,249,275,285,307,321,337,340,378,385,420,424,441
Expenses +,202,202,210,214,224,234,253,249,282,281,305,310,321
Operating Profit,56,46,65,71,83,87,84,90,96,104,115,115,119
OPM %,22%,19%,24%,25%,27%,27%,25%,27%,26%,27%,27%,27%,27%
Other Income +,8,5,9,15,9,14,15,17,15,17,27,24,27
Interest,1,1,0,5,2,2,2,3,3,3,3,3,2
Depreciation,14,14,14,14,15,16,16,16,16,20,21,22,21
Profit before tax,49,36,59,67,75,83,81,88,92,98,118,113,123
Tax %,26%,26%,27%,25%,22%,24%,23%,26%,26%,25%,26%,25%,25%
Net Profit +,36,27,44,50,59,63,62,65,68,74,87,85,92
EPS in Rs,3.77,2.81,4.54,5.21,6.13,6.54,6.48,6.78,7.12,7.71,8.63,8.41,9.06
Raw PDF,,,,,,,,,,,,,
