,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,792","1,565","1,608","1,784","1,953","1,783","1,945","2,059","2,330","2,060","2,280","2,472","2,915"
Expenses +,"1,620","1,406","1,448","1,602","1,751","1,604","1,743","1,845","2,075","1,846","2,059","2,226","2,614"
Operating Profit,172,160,161,182,202,178,202,215,255,215,221,246,301
OPM %,10%,10%,10%,10%,10%,10%,10%,10%,11%,10%,10%,10%,10%
Other Income +,8,4,5,14,7,8,9,14,4,18,17,9,37
Interest,10,9,8,8,10,9,8,11,17,14,13,14,14
Depreciation,14,14,14,14,14,15,16,15,16,16,16,19,19
Profit before tax,156,140,144,174,184,163,188,202,227,203,208,221,305
Tax %,26%,26%,26%,26%,25%,26%,26%,26%,26%,26%,26%,26%,26%
Net Profit +,116,104,107,129,138,121,140,151,168,150,155,165,227
EPS in Rs,12.87,11.52,11.85,14.26,15.31,13.46,15.54,16.70,18.67,16.65,17.15,17.25,23.71
Raw PDF,,,,,,,,,,,,,
