,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"5,260","5,375","5,829","5,810","5,739","6,329","6,678","6,604","6,163","6,694","7,051","7,073","6,730"
Expenses +,"4,511","4,232","4,526","4,403","4,566","4,835","4,944","4,856","4,847","4,978","5,165","5,084","5,192"
Operating Profit,750,"1,143","1,302","1,408","1,174","1,494","1,734","1,748","1,316","1,716","1,886","1,989","1,538"
OPM %,14%,21%,22%,24%,20%,24%,26%,26%,21%,26%,27%,28%,23%
Other Income +,7,103,123,114,-48,136,176,-10,249,160,191,222,289
Interest,18,18,26,32,34,16,26,30,18,18,15,15,14
Depreciation,290,254,299,272,346,239,290,233,288,247,272,280,309
Profit before tax,448,975,"1,100","1,218",745,"1,375","1,594","1,474","1,259","1,611","1,789","1,916","1,504"
Tax %,16%,28%,28%,34%,30%,28%,28%,28%,26%,27%,27%,17%,19%
Net Profit +,371,706,797,808,522,998,"1,155","1,068",932,"1,175","1,305","1,575","1,214"
EPS in Rs,4.49,8.51,9.78,9.92,6.51,12.33,14.01,13.08,11.63,14.58,16.13,19.45,15.13
Raw PDF,,,,,,,,,,,,,
