,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,67,686,167,144,74,736,171,143,98,803,137,174,90
Expenses +,77,439,159,131,90,458,160,134,110,508,139,160,107
Operating Profit,-11,247,9,13,-17,278,11,9,-12,295,-2,14,-17
OPM %,-16%,36%,5%,9%,-23%,38%,7%,6%,-12%,37%,-1%,8%,-18%
Other Income +,4,7,7,32,8,12,14,13,25,9,13,11,13
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,5,5,5,6,6,6,7,10,8,8,9,16
Profit before tax,-12,249,11,40,-14,284,19,15,3,297,3,17,-20
Tax %,-4%,2%,50%,4%,12%,3%,25%,25%,112%,2%,126%,11%,17%
Net Profit +,-12,245,5,38,-16,275,14,11,-0,291,-1,15,-23
EPS in Rs,-2.02,41.81,0.91,6.81,-2.77,48.91,2.45,2.11,-0.05,56.28,-0.13,3.00,-4.46
Raw PDF,,,,,,,,,,,,,
