,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,543,580,682,699,601,756,898,923,"1,016","1,010","1,153","1,271","1,642"
Expenses +,511,546,634,652,581,710,849,874,925,953,"1,084","1,196","1,421"
Operating Profit,33,33,48,47,20,46,49,49,91,56,69,75,221
OPM %,6%,6%,7%,7%,3%,6%,5%,5%,9%,6%,6%,6%,13%
Other Income +,41,41,41,50,70,71,72,82,76,74,75,72,114
Interest,1,1,1,1,4,5,2,1,3,4,2,2,1
Depreciation,10,9,10,10,10,10,10,10,10,10,11,11,10
Profit before tax,63,64,79,86,76,102,107,119,153,115,131,134,324
Tax %,25%,22%,25%,26%,28%,25%,25%,26%,27%,24%,25%,27%,25%
Net Profit +,47,50,59,64,55,77,81,88,112,87,98,98,244
EPS in Rs,4.12,4.38,5.13,5.58,4.83,6.69,7.05,7.70,9.74,7.61,8.53,8.57,21.32
Raw PDF,,,,,,,,,,,,,
