,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales +,"28,797","29,657","37,090","54,155","58,185","51,225","63,672","66,588"
Expenses +,"27,666","28,348","35,765","52,418","57,223","50,090","61,186","64,357"
Operating Profit,"1,131","1,310","1,326","1,736",962,"1,135","2,486","2,231"
OPM %,4%,4%,4%,3%,2%,2%,4%,3%
Other Income +,122,110,104,172,961,240,233,381
Interest,487,569,407,541,775,749,724,717
Depreciation,199,241,268,309,358,364,395,401
Profit before tax,567,609,755,"1,059",789,262,"1,601","1,493"
Tax %,37%,34%,14%,27%,30%,35%,27%,
Net Profit +,376,461,729,804,582,148,"1,226","1,151"
EPS in Rs,32.86,40.32,63.74,6.18,4.48,1.14,9.43,8.83
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
