,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,671","3,666","4,305","4,570","4,920"
Expenses +,"2,251","3,111","3,556","3,853","4,175"
Operating Profit,420,555,749,718,745
OPM %,16%,15%,17%,16%,15%
Other Income +,36,35,52,94,102
Interest,2,2,2,1,1
Depreciation,58,57,67,75,83
Profit before tax,396,531,733,736,763
Tax %,25%,26%,28%,25%,26%
Net Profit +,298,395,525,552,566
EPS in Rs,60.21,79.89,106.17,111.61,114.47
Dividend Payout %,24%,18%,38%,116%,13%
