,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,322,694,330,264,409,791,266,259,435,798,272,282,434
Expenses +,267,498,307,265,356,583,270,260,355,578,269,265,356
Operating Profit,55,195,22,-1,53,209,-4,-2,80,220,2,18,78
OPM %,17%,28%,7%,-0%,13%,26%,-2%,-1%,18%,28%,1%,6%,18%
Other Income +,2,23,3,67,4,11,74,3,5,669,11,28,-0
Interest,2,3,2,3,4,8,4,4,5,7,4,4,5
Depreciation,16,11,14,13,20,13,15,16,21,15,15,17,19
Profit before tax,39,204,10,51,33,199,52,-19,58,867,-6,25,55
Tax %,23%,25%,122%,40%,31%,27%,31%,-30%,18%,14%,-20%,37%,14%
Net Profit +,30,152,-2,31,23,145,36,-13,48,746,-5,16,47
EPS in Rs,1.35,6.77,-0.10,1.36,1.01,6.41,1.57,-0.58,2.11,31.02,-0.21,0.63,2.09
Raw PDF,,,,,,,,,,,,,
