,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,617,748,919,760,597,547,540,488,547,550,596,517,607
Expenses +,457,533,665,600,395,407,410,371,403,410,446,414,487
Operating Profit,159,214,254,159,202,140,130,117,144,139,150,103,120
OPM %,26%,29%,28%,21%,34%,26%,24%,24%,26%,25%,25%,20%,20%
Other Income +,14,17,19,15,13,14,17,17,22,24,22,25,26
Interest,1,1,1,1,1,1,1,1,1,1,0,0,1
Depreciation,11,11,12,12,13,12,14,15,15,12,12,13,15
Profit before tax,162,219,260,161,201,143,132,119,150,151,159,115,130
Tax %,25%,27%,22%,34%,26%,30%,22%,21%,24%,25%,26%,28%,25%
Net Profit +,122,160,203,106,149,100,103,94,115,113,117,83,97
EPS in Rs,39.74,52.12,66.09,34.65,48.74,32.54,33.71,30.73,37.36,36.94,38.30,26.97,31.68
Raw PDF,,,,,,,,,,,,,
