,Dec 2005,Dec 2006
Sales +,223,242
Expenses +,194,225
Operating Profit,29,18
OPM %,13%,7%
Other Income +,7,18
Interest,2,3
Depreciation,6,6
Profit before tax,27,27
Tax %,71%,36%
Net Profit +,8,17
EPS in Rs,1.97,4.37
Raw PDF,,
