,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"74,608","76,781","84,463","91,518","98,083","101,460","107,391","112,868","117,469","118,242","121,045","124,654","126,997"
Interest,"39,944","41,931","45,232","49,366","53,451","58,045","62,955","68,092","70,644","71,701","73,619","77,397","78,227"
Expenses +,"54,233","42,328","49,208","56,498","59,965","49,080","59,365","62,635","65,418","53,996","62,709","64,890","74,438"
Financing Profit,"-19,569","-7,478","-9,977","-14,346","-15,334","-5,665","-14,930","-17,858","-18,593","-7,455","-15,283","-17,634","-25,668"
Financing Margin %,-26%,-10%,-12%,-16%,-16%,-6%,-14%,-16%,-16%,-6%,-13%,-14%,-20%
Other Income +,"33,427","17,743","30,320","35,701","38,769","30,873","36,865","33,103","47,445","33,883","42,758","43,200","52,565"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"13,858","10,265","20,342","21,355","23,436","25,208","21,936","15,245","28,852","26,428","27,474","25,566","26,897"
Tax %,28%,27%,26%,27%,22%,26%,25%,26%,25%,26%,26%,25%,26%
Net Profit +,"10,191","7,796","15,297","15,888","18,769","19,094","16,648","11,598","22,203","20,094","20,565","19,484","20,379"
EPS in Rs,10.70,8.21,16.53,17.34,20.27,20.77,18.04,12.40,23.96,21.65,22.17,21.12,21.96
Gross NPA %,,,,,,,2.53%,,,,2.13%,,
Net NPA %,,,,,,,0.63%,,,,0.52%,,
Raw PDF,,,,,,,,,,,,,
