,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,116,158,285,322,279,377,530
Expenses +,33,40,58,66,89,128,182
Operating Profit,83,118,227,256,190,249,348
OPM %,71%,75%,80%,79%,68%,66%,66%
Other Income +,-0,-0,0,-0,0,-0,0
Interest,5,16,25,25,27,28,44
Depreciation,-0,0,0,0,1,1,2
Profit before tax,78,102,201,230,163,220,301
Tax %,35%,30%,27%,27%,28%,28%,28%
Net Profit +,51,71,147,168,116,158,216
EPS in Rs,2.87,4.04,8.34,9.51,6.59,8.94,12.24
Dividend Payout %,3%,2%,2%,2%,4%,3%,2%
