,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,546","3,796","4,251","4,264","4,302","4,418","4,847","4,851","4,944","5,086","5,589","5,527","5,592"
Expenses +,"3,083","3,317","3,699","3,780","3,814","3,909","4,219","4,237","4,303","4,410","4,774","4,765","4,822"
Operating Profit,463,479,552,484,488,509,628,614,640,675,816,762,770
OPM %,13%,13%,13%,11%,11%,12%,13%,13%,13%,13%,15%,14%,14%
Other Income +,34,16,23,35,20,34,26,29,37,49,44,69,72
Interest,95,93,93,100,95,106,111,113,119,116,118,110,115
Depreciation,166,148,155,153,159,167,163,167,190,177,184,185,211
Profit before tax,236,254,327,266,254,270,379,363,368,430,557,536,516
Tax %,59%,-27%,35%,39%,43%,36%,34%,30%,30%,27%,29%,29%,20%
Net Profit +,97,324,213,162,146,173,249,254,258,316,396,379,414
EPS in Rs,6.27,22.06,14.19,10.68,10.05,11.59,16.20,17.06,17.65,21.23,26.34,25.89,27.10
Raw PDF,,,,,,,,,,,,,
