,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,792","3,979","4,273","4,466","4,440","4,600","4,748","4,842","3,537","5,003","5,179","4,019","3,656"
Expenses +,"3,608","3,826","4,139","4,320","4,288","4,446","4,585","4,656","3,477","4,819","4,984","3,957","3,589"
Operating Profit,184,153,135,145,152,154,164,186,60,184,196,62,67
OPM %,5%,4%,3%,3%,3%,3%,3%,4%,2%,4%,4%,2%,2%
Other Income +,3,7,9,60,4,4,14,-15,56,27,5,-1,-147
Interest,20,20,26,29,31,27,28,40,8,24,28,9,9
Depreciation,64,61,68,70,76,69,70,72,15,69,70,10,10
Profit before tax,104,79,50,107,48,62,79,59,92,119,102,42,-99
Tax %,26%,15%,20%,20%,38%,23%,11%,-8%,-6%,6%,8%,1%,-4%
Net Profit +,77,68,40,85,30,48,71,64,98,112,94,42,-95
EPS in Rs,4.98,4.51,2.84,5.92,2.23,3.23,4.83,4.30,6.36,6.99,6.22,2.80,-6.41
Raw PDF,,,,,,,,,,,,,
