,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,953","2,855","3,867","2,405","3,065","3,272","4,943","4,818","4,658","6,580","11,534","10,454","10,293"
Expenses +,"2,835","2,755","3,722","2,294","2,909","3,140","4,744","4,634","4,476","6,332","11,108","10,063","9,850"
Operating Profit,118,100,145,111,156,132,199,184,182,248,426,391,443
OPM %,4%,4%,4%,5%,5%,4%,4%,4%,4%,4%,4%,4%,4%
Other Income +,2,0,1,4,3,6,3,4,19,16,206,10,265
Interest,14,14,16,15,15,14,17,22,21,29,38,41,46
Depreciation,19,24,29,29,32,34,36,41,51,55,66,75,86
Profit before tax,87,62,100,70,112,90,149,126,130,180,529,285,576
Tax %,27%,27%,23%,26%,28%,25%,24%,23%,25%,22%,22%,24%,19%
Net Profit +,63,45,77,52,81,67,113,97,97,140,412,216,465
EPS in Rs,10.61,7.70,13.02,8.72,13.54,11.55,18.02,16.12,15.91,22.34,65.15,28.50,66.54
Raw PDF,,,,,,,,,,,,,
