,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"13,767","14,624","15,144","15,597","15,215","15,496","15,623","15,567","15,210","15,707","15,926","15,818","15,670"
Expenses +,"10,466","11,222","11,665","11,903","11,643","11,832","11,828","11,902","11,675","11,965","12,139","12,123","12,052"
Operating Profit,"3,301","3,402","3,479","3,694","3,572","3,664","3,795","3,665","3,535","3,742","3,787","3,695","3,618"
OPM %,24%,23%,23%,24%,23%,24%,24%,24%,23%,24%,24%,23%,23%
Other Income +,136,121,80,7,240,146,178,184,309,209,203,740,171
Interest,38,28,28,29,29,50,88,91,105,93,110,112,80
Depreciation,278,281,272,293,291,286,297,313,320,329,338,341,347
Profit before tax,"3,121","3,214","3,259","3,379","3,492","3,474","3,588","3,445","3,419","3,529","3,542","3,982","3,362"
Tax %,26%,26%,18%,27%,26%,26%,26%,27%,25%,26%,27%,25%,26%
Net Profit +,"2,307","2,391","2,670","2,481","2,601","2,556","2,657","2,508","2,561","2,612","2,595","2,989","2,475"
EPS in Rs,9.81,10.13,11.34,10.53,11.07,10.87,11.30,10.68,10.89,11.11,11.03,12.70,10.49
Raw PDF,,,,,,,,,,,,,
