,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,654,405,684,"1,212","1,537","1,913"
Expenses +,578,380,614,"1,025","1,264","1,564"
Operating Profit,76,25,70,187,273,348
OPM %,12%,6%,10%,15%,18%,18%
Other Income +,1,5,3,5,10,23
Interest,4,7,10,12,17,15
Depreciation,25,28,38,41,51,69
Profit before tax,48,-5,24,139,214,287
Tax %,21%,-17%,29%,26%,26%,26%
Net Profit +,38,-4,17,103,160,214
EPS in Rs,967.52,-184.16,385.50,"2,572.08",25.23,33.34
Dividend Payout %,0%,0%,39%,10%,10%,9%
