,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,317","1,616","1,567","1,812","1,929","1,682","1,347","1,429","1,611","1,685","1,716","1,973","2,167"
Expenses +,"1,054","1,333","1,268","1,462","1,571","1,359","1,012","1,074","1,257","1,235","1,271","1,447","1,629"
Operating Profit,263,283,299,350,357,323,335,355,354,449,445,527,537
OPM %,20%,18%,19%,19%,19%,19%,25%,25%,22%,27%,26%,27%,25%
Other Income +,1,9,4,7,11,8,8,11,20,26,36,10,7
Interest,15,14,19,25,31,25,25,28,32,27,30,31,29
Depreciation,30,31,30,32,35,34,34,39,37,40,44,47,50
Profit before tax,219,247,254,299,302,272,285,299,305,408,407,459,464
Tax %,20%,26%,26%,27%,27%,26%,27%,26%,21%,26%,25%,26%,25%
Net Profit +,175,183,189,219,221,202,209,222,243,301,304,338,346
EPS in Rs,18.55,18.81,19.49,22.61,22.78,21.82,22.12,22.47,25.98,31.66,31.59,34.80,35.61
Raw PDF,,,,,,,,,,,,,
