,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,312,300,363,386,382,382,391,398,407,397,419,430
Expenses +,241,247,283,299,297,292,301,301,311,310,327,350
Operating Profit,72,53,80,87,85,90,90,97,96,88,92,80
OPM %,23%,18%,22%,23%,22%,24%,23%,24%,24%,22%,22%,19%
Other Income +,3,0,-7,0,7,3,7,10,6,9,6,12
Interest,0,0,5,8,8,9,6,10,7,7,0,6
Depreciation,10,11,12,15,15,17,14,13,14,15,16,17
Profit before tax,64,43,57,65,68,67,78,84,81,75,81,69
Tax %,14%,13%,19%,17%,19%,30%,27%,35%,26%,23%,24%,30%
Net Profit +,55,37,46,54,55,47,57,54,60,57,62,49
EPS in Rs,,,,,4.10,3.48,4.20,4.02,4.42,4.20,4.54,3.58
Raw PDF,,,,,,,,,,,,
