,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"35,574","37,274","40,930","45,002","47,548","51,168","75,039","78,008","79,434","81,546","83,002","85,040","86,779"
Interest,"15,227","16,358","18,311","20,505","22,606","25,955","41,250","43,242","43,692","44,580","45,414","46,914","46,986"
Expenses +,"15,044","15,021","15,915","16,682","17,770","18,470","45,349","50,530","62,938","49,690","52,074","41,307","47,709"
Financing Profit,"5,304","5,895","6,704","7,815","7,172","6,744","-11,560","-15,764","-27,196","-12,723","-14,487","-3,181","-7,916"
Financing Margin %,15%,16%,16%,17%,15%,13%,-15%,-20%,-34%,-16%,-17%,-4%,-9%
Other Income +,"8,386","6,929","8,252","9,121","9,610","9,853","32,528","37,007","44,958","35,450","38,455","27,154","33,489"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"13,690","12,823","14,956","16,936","16,783","16,597","20,967","21,243","17,761","22,727","23,968","23,973","25,573"
Tax %,23%,25%,25%,25%,25%,25%,17%,17%,-1%,24%,22%,24%,25%
Net Profit +,"10,475","9,617","11,163","12,735","12,634","12,403","17,312","17,718","18,013","17,188","18,627","18,340","19,285"
EPS in Rs,18.83,17.25,19.97,22.77,22.57,22.12,22.17,22.73,23.20,21.65,23.36,23.09,24.61
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
