,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,671","1,610","1,538","1,571","1,569","1,613","1,666","1,786","1,847","1,964"
Expenses +,"1,415","1,221","1,017","1,092","1,120","1,218","1,229","1,373","1,523","1,570"
Operating Profit,256,390,521,479,449,395,437,413,325,394
OPM %,15%,24%,34%,30%,29%,24%,26%,23%,18%,20%
Other Income +,32,34,39,44,48,44,36,47,42,42
Interest,2,2,3,2,3,6,3,3,3,4
Depreciation,59,64,62,66,68,81,83,85,91,93
Profit before tax,227,357,496,454,426,352,386,372,272,339
Tax %,24%,25%,26%,25%,26%,26%,25%,24%,19%,27%
Net Profit +,172,269,368,338,317,261,289,284,221,247
EPS in Rs,17.42,27.21,37.30,34.27,32.11,26.38,29.24,28.70,22.40,25.01
Raw PDF,,,,,,,,,,
