,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,268,296,298,310,321,301,305,310,252,284,313,310,311
Expenses +,199,237,207,201,241,256,216,208,185,236,199,186,230
Operating Profit,69,59,91,109,80,45,89,102,67,48,114,123,81
OPM %,26%,20%,31%,35%,25%,15%,29%,33%,27%,17%,36%,40%,26%
Other Income +,2,3,3,5,5,5,6,5,2,-18,3,4,3
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,7,7,8,6,6,6,7,7,7,6,6,5
Profit before tax,65,55,87,105,79,44,88,100,63,23,111,122,79
Tax %,21%,25%,26%,27%,25%,32%,26%,28%,26%,26%,26%,25%,22%
Net Profit +,51,41,64,77,59,30,66,72,47,17,82,91,61
EPS in Rs,30.82,24.81,38.35,46.27,35.66,17.96,39.50,43.42,28.05,10.11,49.60,54.76,36.86
Raw PDF,,,,,,,,,,,,,
