,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,872","2,058","1,962","1,991","1,961","1,768","1,778","2,009","2,126","2,167","2,032","1,903","2,180"
Expenses +,"1,462","1,702","1,691","1,676","1,613","1,559","1,476","1,705","1,825","1,858","1,734","1,735","1,863"
Operating Profit,410,356,271,315,348,210,302,305,301,309,298,169,317
OPM %,22%,17%,14%,16%,18%,12%,17%,15%,14%,14%,15%,9%,15%
Other Income +,4,10,12,13,13,32,17,14,99,19,21,21,23
Interest,7,9,6,6,4,2,3,3,4,6,6,6,9
Depreciation,45,42,42,41,41,38,39,42,46,47,48,48,51
Profit before tax,362,315,235,281,315,202,277,274,349,275,264,135,279
Tax %,26%,26%,26%,26%,26%,26%,26%,26%,27%,26%,26%,27%,27%
Net Profit +,267,235,174,209,234,150,205,202,254,203,194,98,202
EPS in Rs,19.59,17.20,12.79,15.33,17.15,10.99,15.04,14.81,18.61,14.85,14.24,7.19,14.84
Raw PDF,,,,,,,,,,,,,
