,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,557","2,206","2,087","2,311","2,598","2,369","2,309","2,449","3,008","2,636","2,273","2,510","3,027"
Expenses +,"2,166","1,937","1,939","2,007","2,118","2,047","1,952","2,070","2,517","2,249","1,954","2,201","2,611"
Operating Profit,391,269,147,303,480,322,356,379,491,387,319,309,416
OPM %,15%,12%,7%,13%,18%,14%,15%,15%,16%,15%,14%,12%,14%
Other Income +,78,63,24,36,61,36,37,42,59,59,43,31,45
Interest,2,2,1,1,4,2,2,5,8,3,3,3,3
Depreciation,59,62,65,65,72,72,72,77,77,86,90,91,91
Profit before tax,409,268,105,273,465,283,319,338,465,357,270,245,367
Tax %,21%,20%,22%,23%,23%,24%,24%,24%,24%,23%,23%,24%,20%
Net Profit +,324,214,82,210,359,216,243,256,355,273,207,187,294
EPS in Rs,25.50,16.84,6.46,16.53,28.30,16.97,19.14,20.17,27.93,21.52,16.26,14.72,23.14
Raw PDF,,,,,,,,,,,,,
