,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,427","4,468","3,987","4,537","4,791","5,201","4,435","4,914","5,409","5,155","4,614","5,927","6,067"
Expenses +,"3,792","4,042","3,971","4,158","4,322","4,430","3,885","4,010","4,572","4,476","4,178","4,812","5,236"
Operating Profit,635,426,16,379,469,771,549,905,837,679,436,"1,116",830
OPM %,14%,10%,0%,8%,10%,15%,12%,18%,15%,13%,9%,19%,14%
Other Income +,62,58,56,-35,55,80,212,94,350,73,124,649,330
Interest,11,15,18,19,15,25,29,34,67,33,33,28,14
Depreciation,154,165,173,173,177,200,213,235,237,235,242,260,265
Profit before tax,532,305,-118,152,331,626,519,729,883,484,284,"1,476",882
Tax %,26%,25%,-26%,26%,29%,25%,25%,26%,-7%,26%,30%,26%,15%
Net Profit +,396,227,-87,113,236,466,388,538,943,360,200,"1,092",751
EPS in Rs,21.10,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99
Raw PDF,,,,,,,,,,,,,
