,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,356,304,356,275,370,326,328,289,382,336,421,351,433
Expenses +,283,264,294,227,291,267,260,236,291,272,329,286,334
Operating Profit,73,41,62,47,80,58,69,53,91,64,91,65,98
OPM %,21%,13%,17%,17%,22%,18%,21%,18%,24%,19%,22%,18%,23%
Other Income +,5,5,8,8,8,9,10,11,13,11,10,9,9
Interest,1,3,3,3,3,4,4,3,6,6,6,4,3
Depreciation,5,5,5,6,6,6,6,7,7,7,7,7,7
Profit before tax,71,37,61,47,78,57,68,55,91,62,88,62,97
Tax %,24%,24%,22%,22%,24%,25%,23%,21%,23%,25%,25%,23%,27%
Net Profit +,54,28,48,37,60,43,52,43,70,47,66,48,71
EPS in Rs,5.23,2.73,4.63,3.59,5.86,4.22,5.15,4.25,6.88,4.71,6.64,4.81,7.16
Raw PDF,,,,,,,,,,,,,
