,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,067","1,114","1,210","1,239","1,357","1,139","1,194","1,045","1,070",960,"1,045","1,016","1,041"
Expenses +,836,793,843,778,865,744,884,828,900,785,903,933,961
Operating Profit,231,321,367,461,493,395,310,218,170,176,142,83,81
OPM %,22%,29%,30%,37%,36%,35%,26%,21%,16%,18%,14%,8%,8%
Other Income +,22,11,17,24,10,35,35,41,59,42,54,69,45
Interest,17,6,7,14,10,7,6,6,6,7,8,10,13
Depreciation,53,46,47,48,48,44,46,46,49,47,53,53,57
Profit before tax,183,280,331,423,444,379,294,207,174,163,135,89,56
Tax %,23%,25%,26%,26%,28%,27%,26%,23%,25%,26%,26%,24%,18%
Net Profit +,141,209,246,311,321,278,219,159,130,122,101,67,46
EPS in Rs,18.86,28.06,32.50,39.93,42.12,37.17,28.88,20.58,18.14,17.24,13.49,9.72,6.66
Raw PDF,,,,,,,,,,,,,
